Expanded states,MemoryError,Useful macros,config,group,instance,memory,overall_time,plan_size,real,retval,run,set,solved,sys,user
98,False,,,set_2_hadd,problem_94.anml,453192,0.8756678104400635,13,4.468846999999999,0,,set_2,True,0.907696,3.5611509999999997
123,False,,,set_2_hadd,problem_2.anml,454936,0.8016386032104492,6,4.487486,0,,set_2,True,0.7937179999999999,3.693768
340,False,,,set_2_hadd,problem_42.anml,454664,2.2824339866638184,9,5.918343,0,,set_2,True,0.838376,5.079967
13,False,,,set_2_hadd,problem_1.anml,453324,0.41016435623168945,4,3.861025,0,,set_2,True,0.6788109999999999,3.182214
177,False,,,set_2_hadd,problem_24.anml,454860,1.052971363067627,7,4.699521,0,,set_2,True,0.810699,3.8888220000000002
79,False,,,set_2_hadd,problem_32.anml,453756,0.7427303791046143,11,4.177003,0,,set_2,True,0.7333419999999999,3.443661
79,False,,,set_2_hadd,problem_58.anml,451212,0.7486281394958496,11,4.333209,0,,set_2,True,0.787025,3.5461840000000002
97,False,,,set_2_hadd,problem_166.anml,452836,0.8781507015228271,12,4.419668,0,,set_2,True,0.800705,3.618963
108,False,,,set_2_hadd,problem_226.anml,452864,0.9668781757354736,13,4.542899,0,,set_2,True,0.747709,3.79519
470,False,,,set_2_hadd,problem_190.anml,455992,3.8102071285247803,13,7.3248169999999995,0,,set_2,True,0.8482649999999999,6.476552
607,False,,,set_2_hadd,problem_178.anml,452864,4.812742233276367,13,8.439729999999999,0,,set_2,True,0.915083,7.524647
658,False,,,set_2_hadd,problem_138.anml,456092,5.186701059341431,13,8.776954,0,,set_2,True,0.8867229999999999,7.890231
607,False,,,set_2_hadd,problem_204.anml,455272,4.797614812850952,13,8.358832,0,,set_2,True,0.768967,7.589865
697,False,,,set_2_hadd,problem_206.anml,456884,5.53619122505188,13,9.219213,0,,set_2,True,0.809711,8.409502
177,False,,,set_2_hadd,problem_16.anml,452780,1.0557861328125,7,4.637001,0,,set_2,True,0.8620270000000001,3.774974
109,False,,,set_2_hadd,problem_25.anml,452384,0.9804315567016602,13,4.798558,0,,set_2,True,0.808879,3.9896789999999998
1159,False,,,set_2_hadd,problem_186.anml,465632,10.186840772628784,11,13.746944,0,,set_2,True,0.782805,12.964139
15972,False,,,set_2_hadd,problem_370.anml,1290904,136.9112367630005,17,140.474843,0,,set_2,True,1.674948,138.799895
103,False,,,set_2_hadd,problem_40.anml,454728,0.8496110439300537,11,4.366525,0,,set_2,True,0.838471,3.528054
25843,False,,,set_2_hadd,problem_466.anml,1399024,211.65813493728638,14,215.185841,0,,set_2,True,1.7040579999999999,213.481783
191,False,,,set_2_hadd,problem_160.anml,454852,1.3472228050231934,11,4.840084,0,,set_2,True,0.819087,4.020997
151,False,,,set_2_hadd,problem_140.anml,453280,1.237365484237671,14,4.872247,0,,set_2,True,0.89835,3.973897
151,False,,,set_2_hadd,problem_200.anml,452856,1.22432279586792,14,4.71797,0,,set_2,True,0.809102,3.908868
358,False,,,set_2_hadd,problem_44.anml,455172,2.4033732414245605,9,5.957451,0,,set_2,True,0.7589119999999999,5.198539
40103,False,,,set_2_hadd,problem_360.anml,2752104,373.54032850265503,20,377.041886,0,,set_2,True,2.914201,374.127685
27505,False,,,set_2_hadd,problem_434.anml,2013768,253.01837944984436,17,256.55762500000003,0,,set_2,True,2.041071,254.516554
59906,False,,,set_2_hadd,problem_475.anml,2680352,388.5970118045807,28,392.05086600000004,0,,set_2,True,2.775073,389.275793
97,False,,,set_2_hadd,problem_154.anml,453400,0.9085063934326172,12,4.615279,0,,set_2,True,0.8459049999999999,3.769374
