Expanded states,MemoryError,Useful macros,config,group,instance,memory,overall_time,plan_size,real,retval,run,set,solved,sys,user
5722,False,,,set_1_hff,problem_468.anml,562304,43.63819169998169,13,47.105204,0,,set_1,True,0.8929459999999999,46.212258
2719,False,,,set_1_hff,problem_372.anml,468856,18.38477087020874,14,21.938233,0,,set_1,True,0.897759,21.040474
110,False,,,set_1_hff,problem_170.anml,452224,0.820671558380127,13,4.547886,0,,set_1,True,0.9200419999999999,3.627844
116,False,,,set_1_hff,problem_38.anml,453900,0.8085603713989258,12,4.223691,0,,set_1,True,0.655164,3.568527
6213,False,,,set_1_hff,problem_316.anml,577776,44.988378286361694,11,48.431963,0,,set_1,True,0.932743,47.49922
2701,False,,,set_1_hff,problem_262.anml,467064,18.577392101287842,9,22.077963,0,,set_1,True,0.883481,21.194482
2314,False,,,set_1_hff,problem_456.anml,453412,16.633647203445435,11,20.189684,0,,set_1,True,0.8160719999999999,19.373612
2670,False,,,set_1_hff,problem_260.anml,463620,18.73087215423584,9,22.285027999999997,0,,set_1,True,0.813774,21.471254
40,False,,,set_1_hff,problem_106.anml,453532,0.5478897094726562,10,4.146974,0,,set_1,True,0.7875749999999999,3.359399
5662,False,,,set_1_hff,problem_332.anml,559652,42.79525685310364,13,46.399176,0,,set_1,True,1.121575,45.277601
6379,False,,,set_1_hff,problem_328.anml,571152,47.14630341529846,12,50.712268,0,,set_1,True,0.980097,49.732171
80,False,,,set_1_hff,problem_92.anml,454516,0.7285242080688477,12,4.216593,0,,set_1,True,0.68716,3.529433
115,False,,,set_1_hff,problem_194.anml,452468,0.840864896774292,13,4.340129,0,,set_1,True,0.767664,3.5724650000000002
2302,False,,,set_1_hff,problem_286.anml,453168,16.523223876953125,10,20.12349,0,,set_1,True,0.835382,19.288108
2738,False,,,set_1_hff,problem_454.anml,468908,18.519547939300537,14,22.197888,0,,set_1,True,0.9022549999999999,21.295633
40,False,,,set_1_hff,problem_70.anml,453420,0.5368747711181641,9,4.11621,0,,set_1,True,0.80604,3.31017
6160,False,,,set_1_hff,problem_338.anml,624364,49.165804862976074,12,52.680047,0,,set_1,True,1.030943,51.649104
42,False,,,set_1_hff,problem_188.anml,454640,0.5823192596435547,10,4.309963,0,,set_1,True,0.743597,3.566366
2694,False,,,set_1_hff,problem_256.anml,466280,18.548908233642578,9,22.052357999999998,0,,set_1,True,0.8207899999999999,21.231568
4812,False,,,set_1_hff,problem_324.anml,567380,36.744277477264404,12,40.223197,0,,set_1,True,0.937815,39.285382
41119,False,,,set_1_hff,problem_362.anml,1266524,288.1917521953583,13,291.723099,0,,set_1,True,1.674475,290.048624
4759,False,,,set_1_hff,problem_408.anml,542480,37.78432750701904,12,41.273719,0,,set_1,True,1.020408,40.253311
42216,False,,,set_1_hff,problem_462.anml,1299236,300.49426221847534,13,304.02163299999995,0,,set_1,True,1.6998929999999999,302.32174
42,False,,,set_1_hff,problem_214.anml,453272,0.5525388717651367,10,4.084166,0,,set_1,True,0.8046329999999999,3.279533
1499,False,,,set_1_hff,problem_247.anml,470716,11.277841091156006,11,14.859523,0,,set_1,True,0.9063859999999999,13.953137
115,False,,,set_1_hff,problem_208.anml,453372,0.8385570049285889,13,4.36387,0,,set_1,True,0.732128,3.631742
113,False,,,set_1_hff,problem_126.anml,454368,0.8611721992492676,13,4.480222,0,,set_1,True,0.800555,3.6796670000000002
134,False,,,set_1_hff,problem_164.anml,453452,0.940657377243042,13,4.390142,0,,set_1,True,0.7497269999999999,3.640415
74,False,,,set_1_hff,problem_84.anml,453196,0.7298164367675781,12,4.34851,0,,set_1,True,0.7354149999999999,3.613095
3001,False,,,set_1_hff,problem_318.anml,530984,24.206647872924805,11,27.730902,0,,set_1,True,0.9007459999999999,26.830156
72,False,,,set_1_hff,problem_76.anml,452892,0.6772387027740479,11,4.116192,0,,set_1,True,0.77953,3.336662
2129,False,,,set_1_hff,problem_248.anml,499472,16.55102014541626,7,20.072464,0,,set_1,True,0.9317909999999999,19.140673
105434,False,,,set_1_hff,problem_218.anml,1554736,357.0918433666229,13,360.67989,0,,set_1,True,1.75993,358.91996
,False,,,set_1_hff,problem_455.anml,3475716,,,601.9565680000001,137,,set_1,,3.449338,598.50723
6328,False,,,set_1_hff,problem_334.anml,569532,47.13806509971619,12,50.626076999999995,0,,set_1,True,0.9499179999999999,49.676159
,False,,,set_1_hff,problem_415.anml,3434316,,,601.9491390000001,137,,set_1,,3.570088,598.379051
,False,,,set_1_hff,problem_444.anml,3325976,,,601.975762,137,,set_1,,3.515532,598.46023
109307,False,,,set_1_hff,problem_144.anml,1596940,373.4076726436615,12,376.77365199999997,0,,set_1,True,1.9550459999999998,374.818606
