Expanded states,MemoryError,Useful macros,config,group,instance,memory,overall_time,plan_size,real,retval,run,set,solved,sys,user
124,False,,,set_2_hadd,problem_316.anml,452856,0.6854581832885742,22,3.803057,0,,set_2,True,0.7872669999999999,3.01579
46,False,,,set_2_hadd,problem_1.anml,450484,0.17348122596740723,4,3.1573379999999998,0,,set_2,True,0.7716259999999999,2.385712
20,False,,,set_2_hadd,problem_24.anml,452704,0.0900118350982666,7,3.0638080000000003,0,,set_2,True,0.7502579999999999,2.31355
20,False,,,set_2_hadd,problem_48.anml,449616,0.09100532531738281,7,3.130133,0,,set_2,True,0.834764,2.295369
77,False,,,set_2_hadd,problem_108.anml,454008,0.2409834861755371,10,3.1973849999999997,0,,set_2,True,0.714383,2.483002
124,False,,,set_2_hadd,problem_296.anml,449712,0.6794259548187256,22,3.7489860000000004,0,,set_2,True,0.680817,3.068169
124,False,,,set_2_hadd,problem_284.anml,452744,0.6829049587249756,22,3.7888919999999997,0,,set_2,True,0.727984,3.060908
40,False,,,set_2_hadd,problem_328.anml,453288,0.14773058891296387,16,3.102853,0,,set_2,True,0.7117129999999999,2.39114
40,False,,,set_2_hadd,problem_332.anml,448204,0.1403355598449707,16,3.054611,0,,set_2,True,0.730003,2.324608
400,False,,,set_2_hadd,problem_349.anml,453284,2.8160226345062256,14,5.859525,0,,set_2,True,0.7756839999999999,5.083841
20,False,,,set_2_hadd,problem_72.anml,453244,0.08740568161010742,7,2.990036,0,,set_2,True,0.735378,2.254658
20,False,,,set_2_hadd,problem_80.anml,452960,0.0869758129119873,7,3.012696,0,,set_2,True,0.6745209999999999,2.338175
20,False,,,set_2_hadd,problem_28.anml,452964,0.08705353736877441,7,3.0909459999999997,0,,set_2,True,0.8063659999999999,2.28458
124,False,,,set_2_hadd,problem_324.anml,452420,0.6811461448669434,22,3.817895,0,,set_2,True,0.7735559999999999,3.044339
40,False,,,set_2_hadd,problem_344.anml,452564,0.1477522850036621,16,3.2508879999999998,0,,set_2,True,0.7458589999999999,2.505029
326,False,,,set_2_hadd,problem_181.anml,452868,1.5822944641113281,8,4.540581,0,,set_2,True,0.812012,3.7285690000000002
9,False,,,set_2_hadd,problem_20.anml,451468,0.05249190330505371,4,2.8257760000000003,0,,set_2,True,0.7228399999999999,2.102936
20,False,,,set_2_hadd,problem_40.anml,449152,0.08719158172607422,7,2.968155,0,,set_2,True,0.7096509999999999,2.258504
46,False,,,set_2_hadd,problem_21.anml,451836,0.16643571853637695,4,3.168402,0,,set_2,True,0.8547199999999999,2.3136819999999996
400,False,,,set_2_hadd,problem_345.anml,448664,2.8075709342956543,14,5.796738,0,,set_2,True,0.782593,5.014145
77,False,,,set_2_hadd,problem_140.anml,447508,0.2414393424987793,10,3.251589,0,,set_2,True,0.710633,2.540956
124,False,,,set_2_hadd,problem_304.anml,449236,0.6766374111175537,22,3.8000689999999997,0,,set_2,True,0.826456,2.973613
20,False,,,set_2_hadd,problem_44.anml,449572,0.08694791793823242,7,3.021979,0,,set_2,True,0.8147449999999999,2.207234
53,False,,,set_2_hadd,problem_212.anml,450680,0.22519946098327637,16,3.324173,0,,set_2,True,0.773624,2.550549
