Expanded states,MemoryError,Useful macros,config,group,instance,memory,overall_time,plan_size,real,retval,run,set,solved,sys,user
23,False,,,set_1_hff,problem_148.anml,448380,0.12584233283996582,10,3.209988,0,,set_1,True,0.7313449999999999,2.478643
26,False,,,set_1_hff,problem_42.anml,448932,0.28566455841064453,8,3.4067160000000003,0,,set_1,True,0.804136,2.60258
25,False,,,set_1_hff,problem_339.anml,452924,0.49817371368408203,12,3.851973,0,,set_1,True,0.730386,3.121587
247,False,,,set_1_hff,problem_213.anml,451648,1.4211938381195068,14,4.6369419999999995,0,,set_1,True,0.771963,3.864979
1033,False,,,set_1_hff,problem_93.anml,454308,5.082082986831665,11,8.116816,0,,set_1,True,0.8807119999999999,7.236104
9,False,,,set_1_hff,problem_9.anml,448764,0.08321785926818848,4,3.002148,0,,set_1,True,0.810292,2.191856
16,False,,,set_1_hff,problem_32.anml,451884,0.0798177719116211,7,3.021625,0,,set_1,True,0.763415,2.25821
23,False,,,set_1_hff,problem_88.anml,448376,0.12587189674377441,10,3.199846,0,,set_1,True,0.8480219999999999,2.351824
17,False,,,set_1_hff,problem_165.anml,447984,0.14325499534606934,8,3.2011139999999996,0,,set_1,True,0.7298739999999999,2.47124
76,False,,,set_1_hff,problem_456.anml,448080,0.8334155082702637,34,4.090899,0,,set_1,True,0.733649,3.35725
119,False,,,set_1_hff,problem_86.anml,454664,1.3329994678497314,12,4.379913,0,,set_1,True,0.8456079999999999,3.534305
23,False,,,set_1_hff,problem_92.anml,451816,0.12529373168945312,10,3.149089,0,,set_1,True,0.7348129999999999,2.414276
49,False,,,set_1_hff,problem_312.anml,452896,0.34140872955322266,22,3.370652,0,,set_1,True,0.76247,2.6081820000000002
32,False,,,set_1_hff,problem_55.anml,448944,0.4461369514465332,9,3.472841,0,,set_1,True,0.7037909999999999,2.76905
55,False,,,set_1_hff,problem_396.anml,453860,0.3533008098602295,25,3.535286,0,,set_1,True,0.7577499999999999,2.777536
25,False,,,set_1_hff,problem_335.anml,451844,0.49557995796203613,12,3.64944,0,,set_1,True,0.7250249999999998,2.9244149999999998
119,False,,,set_1_hff,problem_90.anml,449464,1.3582103252410889,12,4.417898,0,,set_1,True,0.696612,3.721286
1033,False,,,set_1_hff,problem_149.anml,451160,5.320969104766846,11,8.390747000000001,0,,set_1,True,0.8142199999999999,7.5765270000000005
9,False,,,set_1_hff,problem_8.anml,448000,0.05368494987487793,4,2.9404749999999997,0,,set_1,True,0.7849659999999999,2.155509
9,False,,,set_1_hff,problem_16.anml,449040,0.05434417724609375,4,2.947081,0,,set_1,True,0.871285,2.075796
23,False,,,set_1_hff,problem_144.anml,449664,0.12725543975830078,10,3.173994,0,,set_1,True,0.796195,2.377799
17,False,,,set_1_hff,problem_186.anml,451716,0.21132755279541016,8,3.304532,0,,set_1,True,0.872111,2.432421
17,False,,,set_1_hff,problem_179.anml,451432,0.2822113037109375,8,3.351885,0,,set_1,True,0.8075869999999999,2.544298
226,False,,,set_1_hff,problem_99.anml,453124,3.7793779373168945,13,6.853911999999999,0,,set_1,True,0.7603679999999999,6.093544
9570,False,,,set_1_hff,problem_369.anml,949936,91.94563865661621,29,95.25828700000001,0,,set_1,True,1.255492,94.002795
2941,False,,,set_1_hff,problem_234.anml,548084,30.51816701889038,14,33.727641,0,,set_1,True,0.9885919999999999,32.739049
2941,False,,,set_1_hff,problem_218.anml,547496,30.60990571975708,14,33.841915,0,,set_1,True,0.975914,32.866001
9570,False,,,set_1_hff,problem_377.anml,947996,91.40498685836792,29,94.579919,0,,set_1,True,1.3135759999999999,93.266343
