macros,positive frequency,length
('move_r0_l0_l1'  'move_r0_l0_l1'),91,2
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),109,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),108,2
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,2
('move_r0_l1_l0'  'prepare_unload_0'),105,2
('prepare_unload_0'  'move_r0_l1_l0'),39,2
('prepare_unload_0'  'unload_r0_k1_0'),244,2
('unload_r0_k1_0'  'unload_r0_k1_0'),306,2
('unload_r0_k1_0'  'prepare_unload_0'),307,2
('prepare_unload_0'  'prepare_unload_0'),612,2
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),85,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),102,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,3
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),23,3
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),18,3
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),36,3
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),243,3
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),306,3
('unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),302,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),83,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),14,4
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),15,4
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),36,4
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),243,4
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),302,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'),1,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),14,5
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,5
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),36,5
('prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),240,5
('prepare_unload_0'  'move_r0_l0_l1'),54,2
('load_r0_l1_c1_k1_0'  'prepare_unload_0'),20,2
('move_r0_l1_l0'  'move_r0_l1_l0'),83,2
('move_r0_l1_l0'  'unload_r0_k1_0'),25,2
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'),18,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),14,3
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),2,3
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),12,3
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),16,3
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),25,3
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),18,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),14,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),2,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),2,4
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),10,4
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),16,4
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),25,4
('prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'),17,5
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),13,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),2,5
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),10,5
('move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),16,5
('move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),25,5
('move_r0_l0_l2'  'move_r0_l0_l2'),63,2
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),69,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),69,2
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),3,2
('move_r0_l2_l0'  'prepare_unload_0'),101,2
('prepare_unload_0'  'move_r0_l2_l0'),30,2
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),57,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),65,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,3
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,3
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),23,3
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),18,3
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),34,3
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),54,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,4
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),16,4
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),15,4
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),34,4
('move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),1,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),14,5
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,5
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),34,5
('move_r0_l0_l2'  'prepare_unload_0'),13,2
('prepare_unload_0'  'move_r0_l0_l2'),32,2
('load_r0_l2_c2_k1_0'  'prepare_unload_0'),10,2
('prepare_unload_0'  'load_r0_l2_c2_k1_0'),5,2
('move_r0_l2_l0'  'move_r0_l2_l0'),75,2
('move_r0_l2_l0'  'unload_r0_k1_0'),23,2
('prepare_unload_0'  'move_r0_l0_l3'),31,2
('move_r0_l0_l3'  'move_r0_l0_l3'),121,2
('move_r0_l0_l3'  'prepare_unload_0'),15,2
('move_r0_l0_l2'  'prepare_unload_0'  'move_r0_l0_l2'),12,3
('prepare_unload_0'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),11,3
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),4,3
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'),4,3
('prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),2,3
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,3
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),15,3
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),23,3
('unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'),3,3
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),11,3
('move_r0_l0_l3'  'move_r0_l0_l3'  'prepare_unload_0'),1,3
('move_r0_l0_l2'  'prepare_unload_0'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),11,4
('prepare_unload_0'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),1,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'),4,4
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),2,4
('prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,4
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),2,4
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,4
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),23,4
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'),3,4
('unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),2,4
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'prepare_unload_0'),1,4
('move_r0_l0_l2'  'prepare_unload_0'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'),1,5
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'),2,5
('load_r0_l2_c2_k1_0'  'prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,5
('prepare_unload_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),2,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),2,5
('move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),15,5
('move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'),1,5
('unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),2,5
('unload_r0_k1_0'  'prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'prepare_unload_0'),1,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),118,2
('load_r0_l3_c3_k1_0'  'prepare_unload_0'),14,2
('prepare_unload_0'  'load_r0_l3_c3_k1_0'),5,2
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),2,2
('move_r0_l3_l0'  'move_r0_l3_l0'),85,2
('move_r0_l3_l0'  'unload_r0_k1_0'),15,2
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),102,3
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'),5,3
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'),5,3
('prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),1,3
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,3
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),12,3
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),15,3
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),9,4
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'),2,4
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'),5,4
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),1,4
('prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,4
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),1,4
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),12,4
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),15,4
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'),2,5
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'),2,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),1,5
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),1,5
('prepare_unload_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),1,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),1,5
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),12,5
('move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'  'prepare_unload_0'),15,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),112,2
('move_r0_l3_l0'  'prepare_unload_0'),95,2
('prepare_unload_0'  'move_r0_l3_l0'),22,2
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),111,3
