macros,positive frequency,length
('load_at_depot_r0_b0'  'move_r0_p0'),24,2
('move_r0_p0'  'move_r0_p0'),95,2
('move_r0_p0'  'make_treatment_r0_b0_p0'),84,2
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),46,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'),94,2
('load_r0_b0_p0'  'load_r0_b0_p0'),80,2
('load_r0_b0_p0'  'make_treatment_r0_b0_p0'),50,2
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'),24,3
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),67,3
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),40,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),46,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),80,3
('load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),47,3
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),24,4
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),33,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),40,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),36,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),47,4
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),24,5
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),33,5
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),31,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),17,5
('load_r0_b0_p0'  'move_r0_DEPOT'),4,2
('move_r0_DEPOT'  'load_r0_b0_p0'),2,2
