macros,positive frequency,length
('light_match_m2'  'mend_fuse_f2'),27,2
('mend_fuse_f2'  'mend_fuse_f2'),27,2
('mend_fuse_f2'  'light_match_m2'),27,2
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),27,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),27,3
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),27,4
('light_match_m3'  'mend_fuse_f3'),35,2
('mend_fuse_f3'  'mend_fuse_f3'),41,2
('mend_fuse_f3'  'light_match_m3'),35,2
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),35,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),35,3
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),35,4
('light_match_m4'  'mend_fuse_f4'),34,2
('mend_fuse_f4'  'mend_fuse_f4'),55,2
('mend_fuse_f4'  'light_match_m4'),34,2
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),34,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),34,3
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),34,4
('light_match_m5'  'mend_fuse_f5'),60,2
('mend_fuse_f5'  'mend_fuse_f5'),61,2
('mend_fuse_f5'  'light_match_m5'),60,2
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),60,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),60,3
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),60,4
('light_match_m6'  'mend_fuse_f6'),70,2
('mend_fuse_f6'  'mend_fuse_f6'),73,2
('mend_fuse_f6'  'light_match_m6'),70,2
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'),70,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),70,3
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),70,4
('light_match_m7'  'mend_fuse_f7'),75,2
('mend_fuse_f7'  'mend_fuse_f7'),79,2
('mend_fuse_f7'  'light_match_m7'),75,2
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),75,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),75,3
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),75,4
('light_match_m8'  'mend_fuse_f8'),77,2
('mend_fuse_f8'  'mend_fuse_f8'),81,2
('mend_fuse_f8'  'light_match_m8'),77,2
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'),77,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'),77,3
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'),77,4
('light_match_m9'  'mend_fuse_f9'),81,2
('mend_fuse_f9'  'mend_fuse_f9'),85,2
('mend_fuse_f9'  'light_match_m9'),81,2
